mcc,mnc,lac,cell_id,short_cell_id,rnc,psc,asu,dbm,ta,lat,lon,accuracy,speed,bearing,altitude,measured_at,net_type,neighboring,discovered_at,device,rsrp,rsrq,rssi,rssnr,cqi,rscp,csi_rsrp,csi_rsrq,csi_sinr,ss_rsrp,ss_rsrq,ss_sinr,cdma_dbm,cdma_ecio,evdo_dbm,evdo_ecio,evdo_snr,ec_no,arfcn
230,3,31055,13757,,,,28,-57,,49.607156666667,18.14247000,9.2,0,0,358.1,"2024-09-12T19:07:58.810Z",GSM,false,"2024-09-10T18:21:59.126Z","Xiaomi M2003J15SC",,,-57,,,,,,,,,,,,,,,,1004
230,3,31055,13759,,,,18,-77,,49.607156666667,18.14247000,9.2,0,0,358.1,"2024-09-12T19:07:58.810Z",GSM,true,"2024-09-10T18:21:59.126Z","Xiaomi M2003J15SC",,,-77,,,,,,,,,,,,,,,,988
230,3,31055,13758,,,,18,-77,,49.607156666667,18.14247000,9.2,0,0,358.1,"2024-09-12T19:07:58.810Z",GSM,true,"2024-09-10T18:21:59.126Z","Xiaomi M2003J15SC",,,-77,,,,,,,,,,,,,,,,993
230,3,31055,16879,,,,18,-77,,49.607156666667,18.14247000,9.2,0,0,358.1,"2024-09-12T19:07:58.810Z",GSM,true,"2024-09-10T18:21:59.126Z","Xiaomi M2003J15SC",,,-77,,,,,,,,,,,,,,,,997
230,3,31055,37832,,,,6,-101,,49.607156666667,18.14247000,9.2,0,0,358.1,"2024-09-12T19:07:58.810Z",GSM,true,"2024-09-10T18:21:59.126Z","Xiaomi M2003J15SC",,,-101,,,,,,,,,,,,,,,,982
230,3,31055,38967,,,,3,-107,,49.607156666667,18.14247000,9.2,0,0,358.1,"2024-09-12T19:07:58.810Z",GSM,true,"2024-09-12T19:07:58.810Z","Xiaomi M2003J15SC",,,-107,,,,,,,,,,,,,,,,1001
230,1,29510,231933810,905991,114,376,,,0,49.607156666667,18.14247000,9.2,0,0,358.1,"2024-09-12T19:07:58.810Z",LTE,false,"2024-09-12T19:07:58.810Z","Xiaomi M2003J15SC",-115,-12,,-4,,,,,,,,,,,,,,,500
230,3,31015,14425,,,,27,-59,,49.83362500,18.17146000,7.4,0,0,533.3,"2024-09-16T12:24:12.319Z",GSM,false,"2024-09-16T12:24:12.319Z","Xiaomi M2003J15SC",,,-59,,,,,,,,,,,,,,,,1004
230,3,31015,14426,,,,24,-65,,49.83362500,18.17146000,7.4,0,0,533.3,"2024-09-16T12:24:12.319Z",GSM,true,"2024-09-16T12:24:12.319Z","Xiaomi M2003J15SC",,,-65,,,,,,,,,,,,,,,,980
230,3,31015,14508,,,,21,-71,,49.83362500,18.17146000,7.4,0,0,533.3,"2024-09-16T12:24:12.319Z",GSM,true,"2024-09-16T12:24:12.319Z","Xiaomi M2003J15SC",,,-71,,,,,,,,,,,,,,,,993
230,3,31015,14445,,,,10,-93,,49.83362500,18.17146000,7.4,0,0,533.3,"2024-09-16T12:24:12.319Z",GSM,true,"2024-09-16T12:24:12.319Z","Xiaomi M2003J15SC",,,-93,,,,,,,,,,,,,,,,1006
230,1,28722,233992303,914032,111,365,,,6,49.83362500,18.17146000,7.4,0,0,533.3,"2024-09-16T12:24:12.319Z",LTE,false,"2024-09-16T12:24:12.319Z","Xiaomi M2003J15SC",-109,-20,,-5,,,,,,,,,,,,,,,500
230,3,31015,14425,,,,27,-59,,49.833688333333,18.172596666667,6.8,0,0,533.3,"2024-09-16T12:24:15.106Z",GSM,false,"2024-09-16T12:24:12.319Z","Xiaomi M2003J15SC",,,-59,,,,,,,,,,,,,,,,1004
230,3,31015,14426,,,,24,-65,,49.833688333333,18.172596666667,6.8,0,0,533.3,"2024-09-16T12:24:15.106Z",GSM,true,"2024-09-16T12:24:12.319Z","Xiaomi M2003J15SC",,,-65,,,,,,,,,,,,,,,,980
230,3,31015,14508,,,,21,-71,,49.833688333333,18.172596666667,6.8,0,0,533.3,"2024-09-16T12:24:15.106Z",GSM,true,"2024-09-16T12:24:12.319Z","Xiaomi M2003J15SC",,,-71,,,,,,,,,,,,,,,,993
230,3,31015,14445,,,,10,-93,,49.833688333333,18.172596666667,6.8,0,0,533.3,"2024-09-16T12:24:15.106Z",GSM,true,"2024-09-16T12:24:12.319Z","Xiaomi M2003J15SC",,,-93,,,,,,,,,,,,,,,,1006
230,1,28722,233992303,914032,111,365,,,6,49.833688333333,18.172596666667,6.8,0,0,533.3,"2024-09-16T12:24:15.106Z",LTE,false,"2024-09-16T12:24:12.319Z","Xiaomi M2003J15SC",-109,-20,,-5,,,,,,,,,,,,,,,500
230,3,31015,14425,,,,27,-59,,49.833436666667,18.17315500,6.3,0,0,533.3,"2024-09-16T12:24:17.142Z",GSM,false,"2024-09-16T12:24:12.319Z","Xiaomi M2003J15SC",,,-59,,,,,,,,,,,,,,,,1004
230,3,31015,14426,,,,24,-65,,49.833436666667,18.17315500,6.3,0,0,533.3,"2024-09-16T12:24:17.142Z",GSM,true,"2024-09-16T12:24:12.319Z","Xiaomi M2003J15SC",,,-65,,,,,,,,,,,,,,,,980
230,3,31015,14508,,,,21,-71,,49.833436666667,18.17315500,6.3,0,0,533.3,"2024-09-16T12:24:17.142Z",GSM,true,"2024-09-16T12:24:12.319Z","Xiaomi M2003J15SC",,,-71,,,,,,,,,,,,,,,,993
230,3,31015,14445,,,,10,-93,,49.833436666667,18.17315500,6.3,0,0,533.3,"2024-09-16T12:24:17.142Z",GSM,true,"2024-09-16T12:24:12.319Z","Xiaomi M2003J15SC",,,-93,,,,,,,,,,,,,,,,1006
230,1,28722,233992303,914032,111,365,,,6,49.833436666667,18.17315500,6.3,0,0,533.3,"2024-09-16T12:24:17.142Z",LTE,false,"2024-09-16T12:24:12.319Z","Xiaomi M2003J15SC",-109,-20,,-5,,,,,,,,,,,,,,,500
230,3,31015,14425,,,,27,-59,,49.833266666667,18.174291666667,4.8,3.83,111.91,533.2,"2024-09-16T12:24:28.150Z",GSM,false,"2024-09-16T12:24:12.319Z","Xiaomi M2003J15SC",,,-59,,,,,,,,,,,,,,,,1004
230,3,31015,14424,,,,24,-65,,49.833266666667,18.174291666667,4.8,3.83,111.91,533.2,"2024-09-16T12:24:28.150Z",GSM,true,"2024-09-16T12:24:28.150Z","Xiaomi M2003J15SC",,,-65,,,,,,,,,,,,,,,,984
230,3,31015,14426,,,,24,-65,,49.833266666667,18.174291666667,4.8,3.83,111.91,533.2,"2024-09-16T12:24:28.150Z",GSM,true,"2024-09-16T12:24:12.319Z","Xiaomi M2003J15SC",,,-65,,,,,,,,,,,,,,,,980
230,3,31015,14508,,,,19,-75,,49.833266666667,18.174291666667,4.8,3.83,111.91,533.2,"2024-09-16T12:24:28.150Z",GSM,true,"2024-09-16T12:24:12.319Z","Xiaomi M2003J15SC",,,-75,,,,,,,,,,,,,,,,993
230,3,31015,14445,,,,9,-95,,49.833266666667,18.174291666667,4.8,3.83,111.91,533.2,"2024-09-16T12:24:28.150Z",GSM,true,"2024-09-16T12:24:12.319Z","Xiaomi M2003J15SC",,,-95,,,,,,,,,,,,,,,,1006
230,1,28722,233992303,914032,111,365,,,7,49.833266666667,18.174291666667,4.8,3.83,111.91,533.2,"2024-09-16T12:24:28.150Z",LTE,false,"2024-09-16T12:24:12.319Z","Xiaomi M2003J15SC",-115,-20,,-1,,,,,,,,,,,,,,,500
230,3,31015,14424,,,,31,-51,,49.833076666667,18.174853333333,3.5,0,7.54,528.1,"2024-09-16T12:25:23.147Z",GSM,false,"2024-09-16T12:24:28.150Z","Xiaomi M2003J15SC",,,-51,,,,,,,,,,,,,,,,984
230,3,31015,14425,,,,25,-63,,49.833076666667,18.174853333333,3.5,0,7.54,528.1,"2024-09-16T12:25:23.147Z",GSM,true,"2024-09-16T12:24:12.319Z","Xiaomi M2003J15SC",,,-63,,,,,,,,,,,,,,,,1004
230,3,31015,14426,,,,24,-65,,49.833076666667,18.174853333333,3.5,0,7.54,528.1,"2024-09-16T12:25:23.147Z",GSM,true,"2024-09-16T12:24:12.319Z","Xiaomi M2003J15SC",,,-65,,,,,,,,,,,,,,,,980
230,3,31015,14416,,,,19,-75,,49.833076666667,18.174853333333,3.5,0,7.54,528.1,"2024-09-16T12:25:23.147Z",GSM,true,"2024-09-16T12:25:23.147Z","Xiaomi M2003J15SC",,,-75,,,,,,,,,,,,,,,,1002
